MGnify_accession	Genome	Species_rep	Lineage	Domain	Phylum	Class	Order	Family	Genus	Species
MGYG-HGUT-02226	GUT_GENOME139200	GUT_GENOME139200	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-81	s__
MGYG-HGUT-02227	GUT_GENOME139262	GUT_GENOME139262	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
MGYG-HGUT-02228	GUT_GENOME139307	GUT_GENOME139307	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1691;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA1691	s__
MGYG-HGUT-02229	GUT_GENOME139388	GUT_GENOME139388	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Oscillibacter	s__
MGYG-HGUT-02230	GUT_GENOME139392	GUT_GENOME139392	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__
MGYG-HGUT-02231	GUT_GENOME139424	GUT_GENOME139424	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__
MGYG-HGUT-02232	GUT_GENOME139458	GUT_GENOME139458	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
MGYG-HGUT-02233	GUT_GENOME139568	GUT_GENOME139568	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__
MGYG-HGUT-02234	GUT_GENOME139627	GUT_GENOME139627	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus_B	s__
MGYG-HGUT-02235	GUT_GENOME139634	GUT_GENOME139634	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Zag111	s__
MGYG-HGUT-02236	GUT_GENOME139637	GUT_GENOME139637	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA6984;s__	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__UBA6984	s__
MGYG-HGUT-02237	GUT_GENOME139644	GUT_GENOME139644	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-465;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-465	g__	s__
MGYG-HGUT-02238	GUT_GENOME139646	GUT_GENOME139646	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-110	s__
MGYG-HGUT-02239	GUT_GENOME139647	GUT_GENOME139647	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__CAG-822	g__	s__
MGYG-HGUT-02240	GUT_GENOME139699	GUT_GENOME139699	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__UBA11963;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__CAG-1000	g__UBA11963	s__
MGYG-HGUT-02241	GUT_GENOME139700	GUT_GENOME139700	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	g__	s__
MGYG-HGUT-02242	GUT_GENOME139713	GUT_GENOME139713	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D succinifaciens	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D succinifaciens
MGYG-HGUT-02243	GUT_GENOME139732	GUT_GENOME139732	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Oribacterium	s__
MGYG-HGUT-02244	GUT_GENOME139736	GUT_GENOME139736	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Rs-D84;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rs-D84	f__Rs-D84	g__Rs-D84	s__
MGYG-HGUT-02245	GUT_GENOME139741	GUT_GENOME139741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__	s__
MGYG-HGUT-02246	GUT_GENOME139743	GUT_GENOME139743	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__	s__
MGYG-HGUT-02247	GUT_GENOME139744	GUT_GENOME139744	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__
MGYG-HGUT-02248	GUT_GENOME139761	GUT_GENOME139761	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5026;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__CAG-822	g__UBA5026	s__
MGYG-HGUT-02249	GUT_GENOME139765	GUT_GENOME139765	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5026;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__CAG-822	g__UBA5026	s__
MGYG-HGUT-02250	GUT_GENOME139809	GUT_GENOME139809	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-110	s__
MGYG-HGUT-02251	GUT_GENOME139815	GUT_GENOME139815	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UBA1381;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Monoglobales	f__UBA1381	g__	s__
MGYG-HGUT-02252	GUT_GENOME139825	GUT_GENOME139825	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Monoglobales	f__	g__	s__
MGYG-HGUT-02253	GUT_GENOME139828	GUT_GENOME139828	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-533;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__CAG-1000	g__CAG-533	s__
MGYG-HGUT-02254	GUT_GENOME139849	GUT_GENOME139849	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-110	s__
MGYG-HGUT-02255	GUT_GENOME139859	GUT_GENOME139859	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-110	s__
MGYG-HGUT-02256	GUT_GENOME139860	GUT_GENOME139860	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__
MGYG-HGUT-02257	GUT_GENOME139879	GUT_GENOME139879	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__
MGYG-HGUT-02258	GUT_GENOME139887	GUT_GENOME139887	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1081;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA1081	s__
MGYG-HGUT-02259	GUT_GENOME139895	GUT_GENOME139895	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__CAG-302;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__CAG-302	g__CAG-302	s__
MGYG-HGUT-02260	GUT_GENOME139906	GUT_GENOME139906	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
MGYG-HGUT-02261	GUT_GENOME139923	GUT_GENOME139923	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-841;s__CAG-841 sp002479075	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__CAG-841	s__CAG-841 sp002479075
MGYG-HGUT-02262	GUT_GENOME139932	GUT_GENOME139932	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
MGYG-HGUT-02263	GUT_GENOME139991	GUT_GENOME139991	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__
MGYG-HGUT-02264	GUT_GENOME140003	GUT_GENOME140003	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__	s__
MGYG-HGUT-02265	GUT_GENOME140007	GUT_GENOME140007	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__CAG-1000	g__	s__
MGYG-HGUT-02266	GUT_GENOME140032	GUT_GENOME140032	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	g__	s__
MGYG-HGUT-02267	GUT_GENOME140043	GUT_GENOME140043	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__
MGYG-HGUT-02268	GUT_GENOME140045	GUT_GENOME140045	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absiella;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Absiella	s__
MGYG-HGUT-02269	GUT_GENOME140047	GUT_GENOME140047	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Anaerococcus;s__Anaerococcus sp002359915	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__Anaerococcus sp002359915
MGYG-HGUT-02270	GUT_GENOME140053	GUT_GENOME140053	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A avium	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_A	s__Enterococcus_A avium
MGYG-HGUT-02271	GUT_GENOME140065	GUT_GENOME140065	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066135;s__GCA-900066135 sp900066135	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__GCA-900066135	s__GCA-900066135 sp900066135
MGYG-HGUT-02272	GUT_GENOME140074	GUT_GENOME140074	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_D
MGYG-HGUT-02273	GUT_GENOME140076	GUT_GENOME140076	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercorirosoris	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides stercorirosoris
MGYG-HGUT-02274	GUT_GENOME140078	GUT_GENOME140078	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_I	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_I
MGYG-HGUT-02275	GUT_GENOME140082	GUT_GENOME140082	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__
MGYG-HGUT-02276	GUT_GENOME140104	GUT_GENOME140104	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__
MGYG-HGUT-02277	GUT_GENOME140106	GUT_GENOME140106	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__Marvinbryantia sp900066075	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Marvinbryantia	s__Marvinbryantia sp900066075
MGYG-HGUT-02278	GUT_GENOME140233	GUT_GENOME140233	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus_A	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_I	s__Eubacterium_I ramulus_A
MGYG-HGUT-02279	GUT_GENOME140235	GUT_GENOME140235	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena_B	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea	s__Dorea longicatena_B
MGYG-HGUT-02280	GUT_GENOME140236	GUT_GENOME140236	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA9502	s__
MGYG-HGUT-02281	GUT_GENOME140240	GUT_GENOME140240	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides faecis
MGYG-HGUT-02282	GUT_GENOME140245	GUT_GENOME140245	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides gordonii	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides gordonii
MGYG-HGUT-02283	GUT_GENOME140246	GUT_GENOME140246	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus_AD	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A cereus_AD
MGYG-HGUT-02284	GUT_GENOME140251	GUT_GENOME140251	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis
MGYG-HGUT-02285	GUT_GENOME140264	GUT_GENOME140264	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp900066375	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp900066375
MGYG-HGUT-02286	GUT_GENOME140265	GUT_GENOME140265	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp000436935	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia sp000436935
MGYG-HGUT-02287	GUT_GENOME140268	GUT_GENOME140268	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__
MGYG-HGUT-02288	GUT_GENOME140270	GUT_GENOME140270	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A sp001884105	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A sp001884105
MGYG-HGUT-02289	GUT_GENOME140272	GUT_GENOME140272	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp000433075	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus sp000433075
MGYG-HGUT-02290	GUT_GENOME140278	GUT_GENOME140278	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas;s__Sellimonas sp002161525	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Sellimonas	s__Sellimonas sp002161525
MGYG-HGUT-02291	GUT_GENOME140283	GUT_GENOME140283	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__	s__
MGYG-HGUT-02292	GUT_GENOME140296	GUT_GENOME140296	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp003529475	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__TF01-11	s__TF01-11 sp003529475
MGYG-HGUT-02293	GUT_GENOME140299	GUT_GENOME140299	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella copri
MGYG-HGUT-02294	GUT_GENOME140304	GUT_GENOME140304	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp002232035
MGYG-HGUT-02295	GUT_GENOME140311	GUT_GENOME140311	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C callidus
MGYG-HGUT-02296	GUT_GENOME140314	GUT_GENOME140314	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp000479315	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sp000479315
MGYG-HGUT-02297	GUT_GENOME140315	GUT_GENOME140315	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp001916135	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__TF01-11	s__TF01-11 sp001916135
MGYG-HGUT-02298	GUT_GENOME140320	GUT_GENOME140320	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp000436615	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp000436615
MGYG-HGUT-02299	GUT_GENOME140329	GUT_GENOME140329	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus;s__	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Vagococcaceae	g__Vagococcus	s__
MGYG-HGUT-02300	GUT_GENOME140330	GUT_GENOME140330	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cutis	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides cutis
MGYG-HGUT-02301	GUT_GENOME140337	GUT_GENOME140337	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus warneri	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus warneri
MGYG-HGUT-02302	GUT_GENOME140340	GUT_GENOME140340	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus vestibularis	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus vestibularis
MGYG-HGUT-02303	GUT_GENOME140342	GUT_GENOME140342	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__
MGYG-HGUT-02304	GUT_GENOME140345	GUT_GENOME140345	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA7182	s__
MGYG-HGUT-02305	GUT_GENOME140352	GUT_GENOME140352	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Leminorella;s__Leminorella grimontii	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Leminorella	s__Leminorella grimontii
MGYG-HGUT-02306	GUT_GENOME140361	GUT_GENOME140361	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium avium	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium avium
MGYG-HGUT-02307	GUT_GENOME140362	GUT_GENOME140362	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter hyointestinalis	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter hyointestinalis
MGYG-HGUT-02308	GUT_GENOME140363	GUT_GENOME140363	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter lanienae	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter lanienae
MGYG-HGUT-02309	GUT_GENOME140364	GUT_GENOME140364	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Kurthia;s__Kurthia senegalensis	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Kurthia	s__Kurthia senegalensis
MGYG-HGUT-02310	GUT_GENOME140365	GUT_GENOME140365	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__Microvirga massiliensis	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Microvirga	s__Microvirga massiliensis
